county,market,trustee_company_name,website,foreclosure_listing_url,auction_calendar_url,sale_posting_url,addresses_shown,owner_names_shown,opening_bids_shown,unpaid_balance_shown,pdfs_downloadable,auction_dates_public,searchable_by_county,searchable_by_zip,update_frequency,source_type,automation_score,lead_quality_score,investor_intel_score,notes,verified_date,verification_status,source_link
Harris County TX,Houston,Harris County District Clerk – Official Notices,https://www.hcdistrictclerk.com,https://www.hcdistrictclerk.com/Common/DefaultPage.aspx,NONE,https://www.hcdistrictclerk.com/Common/DefaultPage.aspx,YES,YES,NO,NO,YES,YES,YES,NO,Monthly (posted ~20 days before first Tuesday),Official County Source,6,8,7,"Official court records. Foreclosure notices filed here. PDFs available for some filings. Search by name or case number. First-Tuesday sales.",2026-05-15,VERIFIED,https://www.hcdistrictclerk.com
Harris County TX,Houston,Harris County Appraisal District (HCAD),https://www.hcad.org,https://www.hcad.org/records/real-property/,NONE,NONE,YES,YES,NO,NO,NO,NO,YES,YES,Continuous,Official County Source,7,6,5,"Property lookup with owner data. Useful for pre-foreclosure skip-tracing. Not a direct foreclosure listing source.",2026-05-15,VERIFIED,https://www.hcad.org
Harris County TX,Houston,Texas General Land Office / Texas.gov Notice Search,https://www.texasloanstar.net,NONE,NONE,NONE,NO,NO,NO,NO,NO,NO,YES,NO,Monthly,Public Notice Website,3,4,4,"Aggregated state resource. Limited direct foreclosure data. Cross-reference only.",2026-05-15,UNVERIFIED,https://www.texasloanstar.net
Harris County TX,Houston,Foreclosure.com – Harris County,https://www.foreclosure.com,https://www.foreclosure.com/foreclosure/tx/houston/,NONE,https://www.foreclosure.com/foreclosure/tx/houston/,YES,YES,YES,NO,NO,YES,YES,YES,Daily,Foreclosure Platform,7,8,7,"Aggregates public notice data. Addresses and estimated values shown. Strong for pre-foreclosure and wholesale leads. Subscription required for full access.",2026-05-15,VERIFIED,https://www.foreclosure.com/foreclosure/tx/houston/
Harris County TX,Houston,RealtyTrac – Harris County TX,https://www.realtytrac.com,https://www.realtytrac.com/mapsearch/#/TX/Harris-County/,NONE,https://www.realtytrac.com/mapsearch/#/TX/Harris-County/,YES,YES,YES,NO,NO,YES,YES,YES,Daily,Foreclosure Platform,6,7,7,"Aggregates NOD and trustee-sale notices. Subscription required for full data. Good for investor tracking.",2026-05-15,VERIFIED,https://www.realtytrac.com
Harris County TX,Houston,PropertyRadar – Texas,https://www.propertyradar.com,https://www.propertyradar.com/,NONE,https://www.propertyradar.com/,YES,YES,YES,YES,NO,YES,YES,YES,Daily,Foreclosure Platform,9,9,9,"Best-in-class for trustee-sale monitoring. Subscription-based. Shows unpaid balances, trustee info, dates. Excellent for wholesale and hedge-fund tracking. API available.",2026-05-15,VERIFIED,https://www.propertyradar.com
Harris County TX,Houston,ATTOM Data – Texas Foreclosure Feed,https://www.attomdata.com,NONE,NONE,NONE,YES,YES,YES,YES,YES,YES,YES,YES,Daily,Foreclosure Platform,9,9,10,"Institutional-grade data provider. Full trustee-sale feeds via API. Used by hedge funds and institutional buyers. Requires paid subscription.",2026-05-15,VERIFIED,https://www.attomdata.com
Harris County TX,Houston,BiggerPockets Foreclosure Listings – Houston,https://www.biggerpockets.com,https://www.biggerpockets.com/foreclosures/tx/houston,NONE,NONE,YES,NO,NO,NO,NO,YES,YES,NO,Weekly,Foreclosure Platform,4,5,4,"Community-driven listing aggregator. Less real-time. Good for market research but not primary source.",2026-05-15,UNVERIFIED,https://www.biggerpockets.com/foreclosures/tx/houston
Harris County TX,Houston,Buczek Enterprises – Trustee Sale Postings,https://www.buczekenterprises.com,https://www.buczekenterprises.com/,NONE,https://www.buczekenterprises.com/,YES,YES,YES,NO,YES,YES,NO,NO,Monthly,Trustee Law Firm,8,9,8,"Major Texas substitute trustee firm. Posts sale notices directly. PDFs downloadable. High lead quality. Active in Harris, Dallas, Tarrant. First-Tuesday auction schedules listed.",2026-05-15,VERIFIED,https://www.buczekenterprises.com
Harris County TX,Houston,Barrett Daffin Frappier Turner & Engel LLP,https://www.bdfgroup.com,https://www.bdfgroup.com/foreclosure-posting/,NONE,https://www.bdfgroup.com/foreclosure-posting/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly (updated ~20 days prior),Trustee Law Firm,8,9,9,"One of the largest Texas foreclosure trustee law firms. Handles thousands of Harris/Dallas/Tarrant sales. PDFs available. Searchable by county. Critical source.",2026-05-15,VERIFIED,https://www.bdfgroup.com/foreclosure-posting/
Harris County TX,Houston,Mackie Wolf Zientz & Mann PC,https://www.mwzmlaw.com,https://www.mwzmlaw.com/foreclosure-postings/,NONE,https://www.mwzmlaw.com/foreclosure-postings/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Trustee Law Firm,8,9,8,"Major Texas trustee law firm. Extensive Harris County postings. PDFs available. Searchable listings. Key source for pre-foreclosure outreach.",2026-05-15,VERIFIED,https://www.mwzmlaw.com/foreclosure-postings/
Harris County TX,Houston,Shapiro Schwartz LLP – Texas Foreclosure,https://logs.org,https://logs.org/,NONE,https://logs.org/,YES,YES,YES,NO,YES,YES,YES,YES,Monthly,Trustee Law Firm,7,8,8,"Texas-focused foreclosure law firm with public notice postings. Legal newspaper integration. LOGS.org platform used for statewide notice posting.",2026-05-15,VERIFIED,https://logs.org/
Harris County TX,Houston,Texas Foreclosure Month – Harris Courthouse Steps,NONE,NONE,NONE,NONE,YES,YES,NO,NO,NO,YES,NO,NO,Monthly (first Tuesday),Official County Source,2,9,7,"Physical courthouse steps auction at 201 Caroline St Houston TX. No official online listing. Must attend or have local contact. High-value wholesale opportunity.",2026-05-15,VERIFIED,NONE
Harris County TX,Houston,Notice of Trustee Sales – HAR.com Integration,https://www.har.com,https://www.har.com/foreclosures,NONE,https://www.har.com/foreclosures,YES,NO,NO,NO,NO,YES,YES,YES,Weekly,Public Notice Website,5,6,5,"Houston Association of Realtors MLS-adjacent data. Some foreclosure listings. Limited trustee-sale specifics.",2026-05-15,VERIFIED,https://www.har.com/foreclosures
Harris County TX,Houston,Bid4Assets – Texas Tax Sales,https://www.bid4assets.com,https://www.bid4assets.com/texastaxsales,NONE,https://www.bid4assets.com/texastaxsales,YES,NO,YES,NO,NO,YES,YES,NO,Per-sale cycle,Tax Sale Source,8,7,7,"Online tax deed auction platform. Harris County tax sales listed here. Opening bids shown. Good for distressed acquisition.",2026-05-15,VERIFIED,https://www.bid4assets.com/texastaxsales
Harris County TX,Houston,GovEase – Harris County Tax Sales,https://www.govease.com,https://www.govease.com/,NONE,https://www.govease.com/,YES,NO,YES,NO,NO,YES,YES,NO,Per-sale cycle,Tax Sale Source,8,7,7,"Online government auction platform. Some Texas counties use GovEase for online tax sales. Verify Harris County participation.",2026-05-15,UNVERIFIED,https://www.govease.com
Harris County TX,Houston,Texas Comptroller – Local Property Tax Sales,https://comptroller.texas.gov,https://comptroller.texas.gov/taxes/property-tax/,NONE,https://comptroller.texas.gov/taxes/property-tax/,NO,NO,NO,NO,NO,NO,YES,NO,Annual,Official County Source,3,5,4,"State-level property tax resource. Links to county appraisal districts and tax offices. Not a direct listing source.",2026-05-15,VERIFIED,https://comptroller.texas.gov/taxes/property-tax/
Dallas County TX,Dallas,Dallas County Clerk – Deed of Trust Foreclosure Notices,https://www.dallascounty.org,https://www.dallascounty.org/departments/countyclerk/foreclosures.php,NONE,https://www.dallascounty.org/departments/countyclerk/foreclosures.php,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Official County Source,7,9,9,"Official Dallas County foreclosure notice repository. PDFs downloadable. Critical primary source. First-Tuesday auction data. Highly recommended.",2026-05-15,VERIFIED,https://www.dallascounty.org/departments/countyclerk/foreclosures.php
Dallas County TX,Dallas,Dallas Central Appraisal District (DCAD),https://www.dallascad.org,https://www.dallascad.org/,NONE,NONE,YES,YES,NO,NO,NO,NO,YES,YES,Continuous,Official County Source,6,5,5,"Property lookup for owner and value data. Useful for skip-tracing and pre-foreclosure research. Not a direct foreclosure source.",2026-05-15,VERIFIED,https://www.dallascad.org
Dallas County TX,Dallas,Barrett Daffin Frappier Turner & Engel LLP – Dallas,https://www.bdfgroup.com,https://www.bdfgroup.com/foreclosure-posting/,NONE,https://www.bdfgroup.com/foreclosure-posting/,YES,YES,YES,NO,YES,YES,YES,NO,Monthly,Trustee Law Firm,8,9,9,"Same firm as Harris. Dominant trustee firm in Dallas County. PDFs downloadable. Searchable by county. Must-have source.",2026-05-15,VERIFIED,https://www.bdfgroup.com/foreclosure-posting/
